Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 3: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 4: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 5: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 6: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 7: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 8: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 10: Crossover (Price & EMA 50) + SMA Crossover (8 & 12),News Sentiment Score,Social Sentiment Score
27/1/2022,21.9,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7270786700909091,0.6362092129371464
28/1/2022,22.8,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5712690955216814,0.6979213218715362
31/1/2022,24.44,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.984655265,0.7124429599470172
1/2/2022,24.59,Buy,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Hold,0.9994444,0.6967675328688382
2/2/2022,25.2,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2008872524919,0.6215270519400009
3/2/2022,23.9,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Hold,Hold,Hold,0.40001776052987,0.600622440692048
4/2/2022,24.27,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,0.8375669133333333,0.6481552967000225
7/2/2022,24.68,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Buy,0.2311018203597451,0.6714060828153177
8/2/2022,25.06,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Hold,Buy,Hold,0.2327822745053593,0.67359395198623
9/2/2022,26.66,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Hold,Hold,Hold,0.1287364167815022,0.6955966942551931
10/2/2022,25.78,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.79865690404,0.68612801989444
11/2/2022,23.91,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,0.5274860151793667,0.6558823382962385
14/2/2022,24.22,Sell,Hold,Hold,Hold,Sell,Sell,Hold,Hold,Sell,Hold,0.3785433194884843,0.6870191805491239
15/2/2022,26.45,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.65624194763,0.6734684831109288
16/2/2022,26.46,Buy,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Buy,Hold,0.4727822101966166,0.6578771338787722
17/2/2022,24.46,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3052685310162041,0.5900916260277155
18/2/2022,23.6,Sell,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Sell,Sell,0.9462057333333332,0.6627472422322536
22/2/2022,23.35,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.78027687125,0.6201020844571747
23/2/2022,22.35,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,0.62210174,0.6247258764127849
24/2/2022,23.7,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.240727115400325,0.6759209928871626
25/2/2022,24.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4662388075,0.7150838635618467
28/2/2022,24.34,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6953785514023343,0.6666769875639427
1/3/2022,23.43,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,0.9845721333333334,0.9822347125
2/3/2022,24.18,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,0.0067460925,0.8805698207133333
3/3/2022,23.67,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,-0.3075571951,0.7843185070978711
4/3/2022,22.9,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,-0.1532726645316666,0.9460154266666666
7/3/2022,21.32,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9795348,0.8278910092896666
8/3/2022,21.48,Hold,Hold,Buy,Hold,Hold,Buy,Hold,Hold,Hold,Hold,0.5000067448671167,0.999376858
9/3/2022,22.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7357610071428571,0.0600698369140975
10/3/2022,22.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99872,0.023303195998505
11/3/2022,22.06,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4946690994468235,0.66402497625
14/3/2022,21.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5148654349999999,0.666502960238
15/3/2022,22.94,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1623784952532825,0.5210625
16/3/2022,24.46,Buy,Buy,Hold,Hold,Buy,Buy,Buy,Hold,Buy,Hold,0.9988321666666669,0.923584205
17/3/2022,24.73,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Buy,Hold,Hold,0.9999507,0.9991940475
18/3/2022,26.41,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,0.3828549269159125,0.34209190765025
21/3/2022,26.69,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8215061825,0.7092417636305451
22/3/2022,26.48,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.74884038375,0.7483220941250001
23/3/2022,25.59,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.86089368625,0.748162075872875
24/3/2022,28.1,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.798513199355206,0.6768805268172801
25/3/2022,27.65,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3684307928079111,0.6382797753785833
28/3/2022,28.17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.502835086346255,0.8744340199999999
29/3/2022,28.61,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.43508337922265,0.98362728375
30/3/2022,27.64,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6248032184295375,0.9738125922222224
31/3/2022,27.24,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.833490986,0.92153404125
1/4/2022,26.67,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6649211726037513,0.8671933737162499
4/4/2022,27.31,Sell,Sell,Hold,Hold,Sell,Sell,Sell,Hold,Sell,Hold,0.5677067370199901,-0.0014817870491837
5/4/2022,25.89,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.65334729,0.996051428
6/4/2022,24.37,Sell,Sell,Hold,Sell,Sell,Sell,Sell,Sell,Sell,Hold,0.6569716917937778,0.7402614528461539
7/4/2022,24.17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,0.8329593745207333,0.8810491898181817
8/4/2022,23.08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2082429873471666,0.5872680596663831
11/4/2022,21.88,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1465090600734875,0.4026867703335714
12/4/2022,21.47,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.12646814244575,0.7147610694287281
13/4/2022,22.17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.2067359646391214,0.390848878596174
14/4/2022,21.22,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3336235,0.8173352688235295
18/4/2022,21.75,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5795754428571429,0.9238635192142856
19/4/2022,22.16,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6049504125172686,0.7754391611111111
20/4/2022,21.45,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2707846075,0.7482615985125385
21/4/2022,20.15,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.36629356266125,0.668450191
22/4/2022,19.48,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.7573211699786125
25/4/2022,19.87,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4718345583764,0.7759738303053333
26/4/2022,18.76,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3966490754799557,0.7140727608333334
27/4/2022,18.38,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.698989225,0.726185581
