Date,Close,"Combi1:
Crossover (Price & EMA 20) + SMA Crossover (12 & 20)","Combi2:
Crossover (Price & EMA 12) + SMA Crossover (12 & 20)","Combi3:
Crossover (Price & EMA 20) + EMA Crossover (12 &20)","Combi4:
Overbought/ Overbought + SMA Crossover (8 & 12)","Combi5:
Crossover (Price & EMA 20) + Crossover (Price & EMA 50)","Combi6: 
Crossover (Price & EMA 12) + EMA Crossover (12 &20)","Combi7:
Crossover (Price & EMA 12) + Crossover (Price & EMA 20)","Combi8:
Crossover (Price & EMA 12) + SMA Crossover (8 & 12)","Combi9:
Crossover (Price & EMA 20) + SMA Crossover (8 & 12)","Combi10:
Crossover (Price & EMA 12) +Crossover (Price & EMA 50)",News Sentiment Score,Social Sentiment Score
6/12/2021,336.3366699,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1421432196441214,0.7381823755806082
7/12/2021,350.5833435,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5095156861384615,0.7373543465992917
8/12/2021,356.3200073,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3248816605384615,0.7247914515538232
9/12/2021,334.6000061,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5197215508333334,0.8121529741873991
10/12/2021,339.0100098,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4774521425,0.7844528262659659
13/12/2021,322.1366577,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8000119669230769,0.7045314465163741
14/12/2021,319.5033264,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4904821621148167,0.7441711339580167
15/12/2021,325.3299866,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.56717642071366,0.7437299880283793
16/12/2021,308.9733276,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9957293342857144,0.7193722514260211
17/12/2021,310.8566589,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,0.4134104759457515,0.7328735357152171
20/12/2021,299.980011,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,0.8630495913333334,0.7498582855239218
21/12/2021,312.8433228,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4284889211689657,0.714102728955142
22/12/2021,336.2900085,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7657770117703189,0.7989587048064669
23/12/2021,355.6666565,Buy,Buy,Buy,Hold,Buy,Buy,Buy,Buy,Buy,Buy,0.8057426483333333,0.7776117100537735
27/12/2021,364.6466675,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2478518773856761,0.6967650401500923
28/12/2021,362.8233337,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5114000501368429,0.6488105923797893
29/12/2021,362.063324,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7992423449999999,0.7812934744991693
30/12/2021,356.7799988,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.0506016891075269,0.7456166377755936
31/12/2021,352.2600098,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0630052961550333,0.5950131769234421
3/1/2022,399.9266663,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3143001737013965,0.6901130943225445
4/1/2022,383.1966553,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5679356463903342,0.6190742366211436
5/1/2022,362.706665,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5884266630153318,0.6686555661483178
6/1/2022,354.8999939,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3011545143332299,0.6883514201479564
7/1/2022,342.3200073,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Sell,0.56985885,0.6487450212440412
10/1/2022,352.706665,Hold,Hold,Sell,Hold,Sell,Hold,Sell,Hold,Sell,Hold,0.77664749375,0.7159787673096217
11/1/2022,354.7999878,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7776885144753467,0.7315663258396372
12/1/2022,368.7399902,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,0.60022699,0.7421850533972612
13/1/2022,343.8533325,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0104219844444444,0.662162212521288
14/1/2022,349.8699951,Sell,Sell,Sell,Hold,Sell,Sell,Sell,Sell,Sell,Sell,0.4815193480148615,0.7078459073739907
18/1/2022,343.5033264,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4194570907238933,0.6885441988469675
19/1/2022,331.8833313,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.45170949,0.677555301517959
20/1/2022,332.0899963,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2946640435454545,0.7368910063537357
21/1/2022,314.6333313,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.51487061625,0.6593710104457915
24/1/2022,310.0,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5826807498103462,0.6620507264603813
25/1/2022,306.1333313,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9056571965526028,0.7085749695472658
26/1/2022,312.4700012,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3787512237704655,0.6527769328920618
27/1/2022,276.3666687,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.0679947930072912,0.5007659735094268
28/1/2022,282.1166687,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4819684555,0.6941223628004672
31/1/2022,312.2399902,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.29023680484829,0.6711752393464955
1/2/2022,310.4166565,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.602416372631348,0.7150196127842411
2/2/2022,301.8866577,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,0.270114257409375,0.5907337961475929
3/2/2022,297.0466614,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4827666733333333,0.5803193022259672
4/2/2022,307.7733459,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5620274888854285,0.7230018418894771
7/2/2022,302.4466553,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5124303597296375,0.778145049670657
8/2/2022,307.3333435,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7713350710114396,0.7653240049368797
9/2/2022,310.6666565,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,0.20413205472962,0.7280312266056393
10/2/2022,301.5166626,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4615211526666666,0.7007921515133663
11/2/2022,286.6666565,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.6873138283333332,0.693184676187354
14/2/2022,291.9200134,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2028715231874516,0.7672315372484767
15/2/2022,307.4766541,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.99702562,0.717326469916358
16/2/2022,307.7966614,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.711423955,0.7655343616593868
17/2/2022,292.1166687,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3652143099257143,0.6713479244998156
