Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 3: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 4: Crossover (Price & EMA 20) + MACD Crossover,Combi 5: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 6: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 7: Crossover (Price & EMA 20) + SMA Crossover (8 & 12),Combi 8: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 9. Overbought/ Overbought,Combi 10. MACD Crossover + SMA Crossover (12 & 20),News Sentiment Score,Social Sentiment Score
22/1/2020,305.37,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,-0.4014357799999999,0.86652197
23/1/2020,305.72,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9999763
24/1/2020,303.0,Sell,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,0.99998474,0.0197654349999999
27/1/2020,298.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.5635983,
28/1/2020,301.27,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,0.3335402866666667,
29/1/2020,301.02,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,0.9973185,0.99981254
30/1/2020,302.0,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,5.207631843373584e-05,0.9998775
31/1/2020,296.51,Buy,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,0.99880743,0.943892985
3/2/2020,298.72,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.5011112318000001,
4/2/2020,303.27,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99987516,0.9962707466666668
5/2/2020,306.77,Buy,Buy,Hold,Buy,Hold,Hold,Buy,Buy,Hold,Hold,0.07430739245995,0.7919850150000001
6/2/2020,307.8,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.444887861004535,0.99935677
7/2/2020,306.16,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999993205,0.99963355
10/2/2020,308.45,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99998516,0.9995982
11/2/2020,308.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7978760954,-0.98586035
12/2/2020,310.97,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.001908825,
13/2/2020,310.64,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.499999459186513,
14/2/2020,311.14,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,,0.5004440158
18/2/2020,310.34,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8265069359270001,0.9449877
19/2/2020,311.82,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3334493048314,0.9960147475
20/2/2020,310.54,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.81067646,0.99994224
21/2/2020,307.34,Sell,Hold,Hold,Sell,Sell,Hold,Hold,Hold,Sell,Sell,0.9863342,
24/2/2020,297.15,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.9998953,
25/2/2020,288.14,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Buy,Hold,0.3331362766666667,
26/2/2020,287.08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.142356345,0.997111435
27/2/2020,274.19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.5370935633333334,0.50014675
28/2/2020,273.04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,-0.014526475,0.5713447925
2/3/2020,284.86,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.724423755,
3/3/2020,276.71,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.4998671699,0.985531285
4/3/2020,288.34,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999956,0.998765
5/3/2020,278.75,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.629107335,0.6361944566666667
6/3/2020,274.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,-0.10753317,0.99902523
9/3/2020,252.74,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.1259123,0.7837130299999999
10/3/2020,265.81,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.45325307,0.9511525014285714
11/3/2020,252.86,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.5748476688,0.99903655
12/3/2020,228.66,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,-0.046223908,0.999762715
13/3/2020,248.21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.596333836754692,0.98375733
16/3/2020,221.05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.17007412,0.995303126
17/3/2020,232.99,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.49028012,0.9772674558333332
18/3/2020,221.19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5678564,0.9885249975
19/3/2020,221.66,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.3333157,0.7722479338333333
20/3/2020,212.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9992070175,0.290644645
23/3/2020,206.68,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99999185,0.98668783
24/3/2020,225.41,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2517111590849999,0.99636265
25/3/2020,228.78,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9633189,0.9433099025
26/3/2020,242.14,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.599640865,0.8062419507999999
27/3/2020,234.93,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.500512826374075,0.9990101975
30/3/2020,242.56,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,4.74799100000182e-05,0.998690135
31/3/2020,238.94,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.603358175,0.9726084822222224
1/4/2020,228.19,Hold,Buy,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,0.9999933,0.84164387
2/4/2020,233.46,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5020726935,0.997932915
3/4/2020,230.08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.7397877549999999,0.9854649866666666
6/4/2020,245.54,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0212827913188,0.998232632
7/4/2020,245.79,Hold,Hold,Buy,Hold,Hold,Buy,Hold,Buy,Hold,Hold,,0.9990047533333332
8/4/2020,254.04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.2141768040445,0.3650173133333332
9/4/2020,257.9,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.4849758060625,0.6402408024999999
13/4/2020,255.55,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.96678145,0.9508955111111111
14/4/2020,263.08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.7559931875,0.957932818
15/4/2020,257.49,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9749392,0.70936558125
16/4/2020,258.74,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99964435,0.8505389566666667
17/4/2020,265.73,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.38529106375
20/4/2020,261.04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1012067,0.89882630125
21/4/2020,253.12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.8801427,0.99989897
22/4/2020,258.74,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.00010052379,0.4286823042222222
23/4/2020,258.72,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.7256016133333333
24/4/2020,262.32,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.9999497,0.25231087575
27/4/2020,266.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,-0.99270445
28/4/2020,264.88,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,2.5839517e-08,0.9990018
29/4/2020,271.82,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,3.7353675e-05,0.8154136810000001
30/4/2020,269.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9929513277777776
1/5/2020,262.16,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999993,
4/5/2020,262.88,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5029944193,0.926494
5/5/2020,265.31,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7461942282,
6/5/2020,263.51,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.988177015,0.99988407
7/5/2020,266.69,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9678116366666668,0.989491
8/5/2020,271.1,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.982879325,0.80571965
11/5/2020,271.16,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,0.000155308092,
12/5/2020,265.75,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9887654,0.99999875
13/5/2020,261.05,Sell,Sell,Hold,Sell,Hold,Hold,Sell,Hold,Hold,Hold,,0.94607617
14/5/2020,264.18,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5007466887,
15/5/2020,265.39,Hold,Hold,Hold,Buy,Hold,Hold,Buy,Hold,Hold,Hold,0.02248436920454,0.9984295
18/5/2020,273.48,Buy,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999566,0.99761826
19/5/2020,270.67,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99988675,0.9998508
20/5/2020,275.27,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,5.0490726e-08,0.429712255
21/5/2020,273.37,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.33329007,0.5155791
22/5/2020,273.88,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.00018117,0.9748806
26/5/2020,277.26,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.59069704,0.38856012
27/5/2020,281.38,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9999944
28/5/2020,280.86,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.010541762357026,0.9995532
29/5/2020,282.12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8789527066511562,
1/6/2020,283.26,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,1.7649132e-08,0.91901666
2/6/2020,285.6,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.49648017439195,
3/6/2020,289.4,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.010700686,0.9999987
4/6/2020,288.64,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.611143935064,0.9726665
5/6/2020,296.04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.270552225523013,-0.17661369
8/6/2020,299.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.997532335,-0.526232888825
9/6/2020,297.38,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,0.19595374813875,
10/6/2020,295.73,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,0.99993365,0.3314743049999999
11/6/2020,278.68,Sell,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,0.9996757,0.5006973025
12/6/2020,282.01,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,0.9962284,0.8311240201333333
15/6/2020,284.65,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99476278,0.38345513
16/6/2020,290.13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.50008683005,0.9999879
17/6/2020,288.92,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9997518533333332,0.024908115
18/6/2020,289.03,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,-0.0003926416415066,2.385559e-07
19/6/2020,287.38,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6104864938666666,
22/6/2020,289.22,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.4995323674383655,
23/6/2020,290.56,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99849284,0.9999048
24/6/2020,283.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6754703336666666,0.9981964
25/6/2020,286.18,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Hold,0.5758304,0.990762745
26/6/2020,279.38,Hold,Buy,Hold,Buy,Hold,Hold,Buy,Hold,Hold,Hold,-2.19200000000086e-05,
29/6/2020,283.49,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,0.000157096744,
30/6/2020,287.12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.04107024429857,2.1263459e-05
1/7/2020,289.13,Buy,Buy,Hold,Buy,Hold,Hold,Buy,Buy,Hold,Hold,0.4847130648219142,
2/7/2020,290.72,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.501942951,0.99481078
6/7/2020,295.21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3768150673,0.3880408219666666
7/7/2020,292.17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.998241245,0.99336551
8/7/2020,294.4,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,,0.9994865
9/7/2020,292.72,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,3.3153265e-06,0.9997078
10/7/2020,295.71,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4872675493333333,0.8505397650000001
13/7/2020,293.15,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.66018465085,0.97288046
14/7/2020,296.95,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9724129133333334,0.663447494
15/7/2020,299.68,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999851,0.475312
16/7/2020,298.69,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999751,
17/7/2020,299.56,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,-0.000105146144,0.874975324
20/7/2020,301.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.3317663833333333,0.997737645
21/7/2020,302.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.635495390575,
22/7/2020,304.35,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.362733891096,0.9999998
23/7/2020,300.71,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.48923512329525,0.994459124
24/7/2020,298.78,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6099516300000001,0.9999778466666666
27/7/2020,300.96,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9576016,
28/7/2020,299.05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.668797923,
29/7/2020,302.73,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-5.730000000037094e-06,
30/7/2020,301.64,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999583,0.99038741
31/7/2020,304.03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999823,0.7299846
3/8/2020,306.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3332356713917729,
4/8/2020,307.32,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,0.4257011855333333,0.99898375
5/8/2020,309.23,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999677,0.98918694
6/8/2020,311.3,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.99949097,
7/8/2020,311.52,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9995667533333332,
10/8/2020,312.46,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4710226333333333,0.9998484
11/8/2020,309.88,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.24622562210125,0.99393621
12/8/2020,314.2,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.4997954684119999,0.9931779
13/8/2020,313.63,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.7732255,0.99995404
14/8/2020,313.64,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.47092685,0.9999342
17/8/2020,314.63,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.537280700314465,
18/8/2020,315.31,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.38721036121,0.9996408
19/8/2020,314.0,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.47489414475,
20/8/2020,314.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.9732904466666666,0.6127259
21/8/2020,316.1,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.99963886,0.9996374
24/8/2020,319.3,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,,0.9999918
25/8/2020,320.42,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.4569257667857143,0.9926605
26/8/2020,323.63,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,-0.49954474439,0.937875224
27/8/2020,324.34,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.8954791200000001,0.9998573
28/8/2020,326.43,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.0386843702976919,0.497566145935
31/8/2020,325.25,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.49999122539185,
1/9/2020,328.31,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,0.0002660452828489,0.9747513675
2/9/2020,333.06,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,0.2507523704298393,0.9979892
3/9/2020,321.6,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.84291407,0.808750004
4/9/2020,318.97,Sell,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,-0.3330815133333333,
8/9/2020,310.26,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,-0.0756519627597911,0.9980570085714284
9/9/2020,316.38,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.48460475096975,0.7239963
10/9/2020,310.89,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.9998035,0.9998015
11/9/2020,311.05,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,0.99973065,0.7858271
14/9/2020,315.15,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3332749035500597,0.998881875
15/9/2020,316.74,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.391481745
16/9/2020,315.48,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.02961615,0.9999063
17/9/2020,312.71,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,0.9991419,0.9996841
18/9/2020,309.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.92174864,0.9721557975
21/9/2020,305.67,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999984,0.6533544443333333
22/9/2020,308.78,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.348087935,
23/9/2020,301.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,-0.086301352534206,0.7434063218
24/9/2020,302.42,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9998481,0.9897109
25/9/2020,307.31,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4999997603745,0.4762601875
28/9/2020,312.42,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.79982922534,1.4159988e-06
29/9/2020,310.71,Buy,Buy,Buy,Buy,Hold,Buy,Buy,Hold,Hold,Hold,0.9768561533333332,0.4999950308967499
30/9/2020,313.07,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.74577555025,
1/10/2020,315.08,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Hold,Hold,Buy,0.99963754,0.00027744757
2/10/2020,312.09,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.498411718242,0.99995506
5/10/2020,317.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,2.8092736e-05,
6/10/2020,313.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8554951,0.999895
7/10/2020,318.56,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.49823332575,
8/10/2020,321.38,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0001152999999999,0.89960206
9/10/2020,324.25,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8892024,0.25518354945
12/10/2020,329.47,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.49992925373085,0.9715107
13/10/2020,327.32,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.836741426271971,
14/10/2020,325.26,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Hold,6.886999999999865e-05,0.613880996
15/10/2020,324.86,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,-0.9875107
16/10/2020,324.66,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3338544266666667,-0.9999819
19/10/2020,319.73,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.999739705
20/10/2020,321.01,Sell,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.66672609403,0.99229291
21/10/2020,320.4,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3333236233333333,0.7776308716666667
22/10/2020,322.16,Sell,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Sell,0.5064530575,0.924246025
23/10/2020,323.25,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,,0.93021892
26/10/2020,317.28,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.99949324,0.99984603
27/10/2020,316.18,Hold,Hold,Sell,Hold,Hold,Sell,Hold,Sell,Hold,Hold,0.9993478,
28/10/2020,305.38,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.7922425,0.4684832388756666
29/10/2020,308.48,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999996,0.98246413
