Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 3: Crossover (Price & EMA 20) + MACD Crossover,Combi 4: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 5: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 6: Crossover (Price & EMA 50) + MACD Crossover,Combi 7: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 8: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 10: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),News Sentiment Score,Social Sentiment Score
7/2/2020,211.17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999801,0.9999802
10/2/2020,211.9,Buy,Hold,Hold,Buy,Hold,Hold,Hold,Buy,Buy,Hold,0.99421095,0.999772
11/2/2020,206.06,Hold,Hold,Buy,Hold,Hold,Hold,Buy,Hold,Hold,Hold,0.551705735,
12/2/2020,209.61,Sell,Hold,Sell,Hold,Hold,Sell,Hold,Hold,Sell,Hold,0.218213208,
13/2/2020,211.98,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Buy,Hold,0.9363787583333334,
14/2/2020,213.01,Buy,Hold,Buy,Buy,Buy,Hold,Buy,Buy,Hold,Buy,0.330506086,
18/2/2020,216.61,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7125017042857144,0.9999471
19/2/2020,216.3,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8743639766666668,0.99998695
20/2/2020,213.41,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99996322,0.50018074751
21/2/2020,209.03,Sell,Hold,Sell,Hold,Hold,Sell,Hold,Hold,Hold,Hold,0.9351112975,
24/2/2020,199.62,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Sell,Sell,Hold,0.98560905,0.99998605
25/2/2020,195.7,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.86585755,
26/2/2020,196.12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.31968016,
27/2/2020,188.71,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6506441866666667,0.68911755
28/2/2020,191.42,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9832227,0.98666452
2/3/2020,195.37,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.853458876,
3/3/2020,184.88,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9034067,0.999896616
4/3/2020,190.71,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0107858175,0.89657176
5/3/2020,184.16,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.23583729,0.9998449
6/3/2020,180.1,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99997465,0.99824196
9/3/2020,168.58,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.9772234,0.9827478666666668
10/3/2020,177.22,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.984404,
11/3/2020,169.31,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9998153933333334,0.673468425
12/3/2020,153.63,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9995967,0.996675255
13/3/2020,169.35,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9997079
16/3/2020,145.21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.99995804
17/3/2020,148.6,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7487681658483016,0.50372575135
18/3/2020,146.16,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5707973311376,0.99944387
19/3/2020,152.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.1339429429752624,0.9920003
20/3/2020,148.91,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4011690898519999,0.9972695
23/3/2020,147.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.939781038,
24/3/2020,160.1,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4991487825,0.6722625266666666
25/3/2020,155.36,Buy,Hold,Buy,Hold,Hold,Hold,Hold,Buy,Hold,Hold,-0.0314368100355833,0.9979854
26/3/2020,162.45,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6649807225,0.99895798
27/3/2020,155.93,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Buy,Hold,Hold,0.9999790333333332,
30/3/2020,165.04,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4343372158,
31/3/2020,165.89,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Buy,Hold,Hold,0.963701965,0.95772743
1/4/2020,158.73,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,0.670343,0.99688678
2/4/2020,157.33,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99887118,0.00042261378
3/4/2020,153.34,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.296651634,
6/4/2020,164.65,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99997073,0.9997431
7/4/2020,167.91,Hold,Hold,Hold,Buy,Buy,Hold,Buy,Hold,Buy,Buy,0.989830572,
8/4/2020,173.33,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9976820133333334,0.9076254
9/4/2020,174.23,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9985757,0.9999738
13/4/2020,173.84,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999904925,
14/4/2020,177.2,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9833327833333332,0.99925256
15/4/2020,176.0,Hold,Hold,Hold,Buy,Hold,Hold,Buy,Hold,Buy,Hold,0.99941765,0.9999586
16/4/2020,175.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.6070416245763637,0.97481388
17/4/2020,178.26,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9985354725,
20/4/2020,177.27,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.5030347637950751,
21/4/2020,169.87,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5813179577777778,
22/4/2020,181.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.7287732422557143,0.99962885
23/4/2020,184.12,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.9922954528571428,0.9994562
24/4/2020,189.03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5451433992222223,0.0001009202
27/4/2020,186.48,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.68389766,0.99980275
28/4/2020,181.91,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9941899,
29/4/2020,193.13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2526594350690106,0.59083848451
30/4/2020,203.59,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.0002547485554627,0.9990256
1/5/2020,201.17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.1513975,0.90786825
4/5/2020,204.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.749979191909335,
5/5/2020,205.94,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999961344,
6/5/2020,207.33,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999922,0.8003488999999999
7/5/2020,210.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9929052571428572,0.99302382
8/5/2020,211.19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4010815278,0.99904525
11/5/2020,212.02,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99999887,
12/5/2020,208.95,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99214587,0.9999355
13/5/2020,203.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.14414452,0.9999752
14/5/2020,205.68,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999110216666668,0.99984956
15/5/2020,209.73,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.935577335,0.9995135
18/5/2020,212.03,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.88110940938636,
19/5/2020,215.7,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.765043787,
20/5/2020,228.72,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5997297712374942,
21/5/2020,230.13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6673777808453442,
22/5/2020,233.63,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8745213285714285,
26/5/2020,230.93,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6946716394322352,0.4775779233333333
27/5/2020,227.89,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.0913201763622222,0.99995434
28/5/2020,224.23,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3381848844092166,0.9977983
29/5/2020,223.86,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99959935,
1/6/2020,230.64,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.161301628,0.99717075
2/6/2020,231.45,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.90579267,0.953820735
3/6/2020,228.9,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99966973,
4/6/2020,225.06,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.9999411,0.99966508
5/6/2020,229.51,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8955646749999999,0.999611
8/6/2020,230.14,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,-0.99496067,
9/6/2020,237.37,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5006598358000001,
10/6/2020,235.44,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,0.3983019863640137,0.999981
11/6/2020,223.21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.528965741042,
12/6/2020,227.33,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.9978469,
15/6/2020,231.23,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9998777133333334,
16/6/2020,234.36,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,0.7581919,0.99990416
17/6/2020,234.24,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.94948077,0.999862115
18/6/2020,234.65,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5897418325,0.5497273
19/6/2020,237.49,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999944665,
22/6/2020,237.91,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6506234180784511,
23/6/2020,240.92,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.5237445000000001,0.9996093333333332
24/6/2020,232.74,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,0.535284127085,0.99985686
25/6/2020,234.39,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold,0.4499511898110001,0.9999446
26/6/2020,214.9,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,-0.1049894916666666,0.9572201333333332
29/6/2020,219.44,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold,-3.1532622e-08,0.9993491
30/6/2020,225.83,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Buy,Hold,0.3562418707999999,0.99999654
1/7/2020,236.25,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.26156849475,0.8377790825
2/7/2020,232.15,Buy,Hold,Buy,Hold,Hold,Hold,Hold,Buy,Hold,Hold,0.4925263366666667,
6/7/2020,238.97,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9994836566666666,0.996864115
7/7/2020,239.55,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3313118333333333,0.686715
8/7/2020,242.25,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.998470694,0.99990595
9/7/2020,243.17,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99914265,0.999723424
10/7/2020,243.73,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5564007308571429,0.99999315
13/7/2020,237.7,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9997631,0.9942559125
14/7/2020,238.42,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9998692,0.9982326
15/7/2020,238.97,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99667483,0.916502512
16/7/2020,239.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.3332289866666666,0.9979745983333334
17/7/2020,240.71,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.32856103,
20/7/2020,244.08,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9996581,0.498639625
21/7/2020,240.43,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9935112
22/7/2020,238.56,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.5712688657443166,0.7517105610213972
23/7/2020,231.33,Hold,Hold,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,0.6872689943333334,0.999904215
24/7/2020,229.45,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,0.47502133,0.9998694
27/7/2020,232.23,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6068881317333333,0.58676985
28/7/2020,228.86,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3335584866666667,0.9999695
29/7/2020,232.02,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9338512742857142,0.9998236
30/7/2020,233.22,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6974577481742222,0.9999834
31/7/2020,252.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5705918049994488,0.96877843
3/8/2020,250.59,Buy,Hold,Buy,Buy,Buy,Hold,Buy,Buy,Hold,Buy,-0.29274504,
4/8/2020,248.47,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.2513352154718,0.49927629035
5/8/2020,247.76,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.98016888,0.99534665
6/8/2020,263.83,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5158238566666667,0.99990185
7/8/2020,266.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.996498866,0.9994236
10/8/2020,261.57,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9724081,0.9990643
11/8/2020,254.73,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.00145523,
12/8/2020,258.47,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9994638,0.9999474075
13/8/2020,259.87,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9251733,0.9991257
14/8/2020,259.81,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5784378106914286,
17/8/2020,259.74,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.66560481598,0.8774702452220435
18/8/2020,260.91,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.471914767269905,0.8471720829566745
19/8/2020,261.16,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.80741226,
20/8/2020,267.54,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.99562935
21/8/2020,265.55,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5973391595342507,
24/8/2020,269.91,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3339874,0.99996036
25/8/2020,279.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.891536375,0.999809
26/8/2020,302.25,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.4999484825,
27/8/2020,291.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.95996553,0.2595116
28/8/2020,292.06,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.98177915,0.97885352
31/8/2020,291.6,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4993150975,0.876962625
1/9/2020,293.83,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9947878666666666,0.99679675
2/9/2020,300.85,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3583570033333333,0.99949162
3/9/2020,289.53,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.464522124,0.9999678
4/9/2020,281.19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.3306059766666666,
8/9/2020,269.68,Sell,Hold,Sell,Hold,Sell,Hold,Hold,Sell,Hold,Hold,0.9975215,0.8206110875
9/9/2020,272.23,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,0.9661724375,2.1224999999958083e-05
10/9/2020,266.63,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9904456066666666
11/9/2020,265.16,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.93250144,
14/9/2020,264.7,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.98004552,0.9993678366666666
15/9/2020,270.93,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.577456344,0.99721265
16/9/2020,262.08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5770048950595,0.999793575
17/9/2020,253.43,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5046469979999999,0.99999195
18/9/2020,251.15,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8292152633333334,0.999958695
21/9/2020,246.8,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.998512315,0.9995860666666668
22/9/2020,253.36,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.32309246001115,0.99976146
23/9/2020,247.66,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.674002476074,
24/9/2020,248.17,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99992503,0.9997456
25/9/2020,253.43,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99754065,0.9999921866666668
28/9/2020,255.42,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9997773
29/9/2020,260.36,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.91585728,0.99853537
30/9/2020,260.47,Buy,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Hold,0.3629023666666667,
1/10/2020,265.18,Buy,Hold,Buy,Hold,Hold,Buy,Hold,Hold,Hold,Hold,-0.0001020999999999,0.999970165
2/10/2020,258.52,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Buy,,0.99998885
5/10/2020,263.21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.9971843333333332,0.998948755
6/10/2020,257.25,Hold,Hold,Hold,Buy,Buy,Hold,Buy,Hold,Buy,Buy,0.6646015116666667,
7/10/2020,256.71,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.985130425,0.97816445
8/10/2020,262.32,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.925549,
9/10/2020,263.01,Hold,Hold,Hold,Buy,Buy,Hold,Buy,Hold,Buy,Buy,-0.7681163,
12/10/2020,274.25,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Buy,0.677064249975,0.0732270999999999
13/10/2020,274.63,Hold,Hold,Hold,Buy,Hold,Hold,Buy,Hold,Hold,Hold,0.5974450849999999,
14/10/2020,270.34,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9997394
15/10/2020,265.26,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7960376225,0.33867835
16/10/2020,264.48,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.96308945,0.9653864
19/10/2020,259.97,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,,0.999884
20/10/2020,266.1,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.9999803,0.98453283
21/10/2020,277.21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,3.3000568e-08,0.99984202
22/10/2020,276.6,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.98026226,0.979167
23/10/2020,283.24,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9975435,0.99888533
26/10/2020,275.6,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99852661,0.9996420266666668
27/10/2020,281.74,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99999523,0.99955118
28/10/2020,266.21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8439551666666666,
29/10/2020,279.3,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Sell,Hold,0.2436721258333333,
30/10/2020,261.67,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Hold,-1.5344527e-05,0.0026456799999999
