Stock,Horizon,BestThreshold,Model,ContextLength,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
META,9,0.0175,FinCast,128,0.4834710743801653,0.5139078731547293,27,2,25,0.3333333333333333,-1.5232934798844284,-0.43143665588079994
META,10,0.017,FinCast,128,0.46887966804979253,0.4818495514147688,25,2,23,0.32,-1.1634371804397279,-0.37676747553478795
NVDA,2,0.0025,FinCast,128,0.4738955823293173,0.49850338365434665,125,46,79,0.464,-0.904071058555636,-0.4364023163738342
NVDA,3,0.0025,FinCast,128,0.49193548387096775,0.5121878121878122,83,29,54,0.43373493975903615,-2.100518849841226,-0.7076087171079285
NVDA,4,0.005,FinCast,128,0.4979757085020243,0.5221817691477886,62,21,41,0.46774193548387094,-0.20621107071892025,-0.20424961158488053
NVDA,5,0.005,FinCast,128,0.483739837398374,0.4987404684095861,50,12,38,0.46,-0.9660211433986609,-0.501316321698652
NVDA,6,0.0075,FinCast,128,0.4530612244897959,0.4900701754385965,41,8,33,0.34146341463414637,-1.2120650570333829,-0.5378557353579617
NVDA,7,0.01,FinCast,128,0.4713114754098361,0.5232323232323232,35,7,28,0.34285714285714286,-1.7002232229568737,-0.5855690241435123
NVDA,8,0.015,FinCast,128,0.4773662551440329,0.5330725462304409,31,3,28,0.25806451612903225,-1.3484609569970758,-0.5424401917055128
NVDA,9,0.0175,FinCast,128,0.47520661157024796,0.5581107634087766,27,3,24,0.48148148148148145,-0.46578218204060273,-0.33443955631008626
NVDA,10,0.017,FinCast,128,0.49377593360995853,0.5125588697017269,25,3,22,0.36,-0.8268909670075176,-0.45977555853852703
SPY,2,0.0025,FinCast,128,0.5180722891566265,0.5541682797780358,125,35,90,0.424,-1.5916255267925863,-0.18903788185451365
SPY,3,0.0025,FinCast,128,0.4798387096774194,0.5175889328063241,83,26,57,0.43373493975903615,-0.9928274485433412,-0.1255456310966272
SPY,4,0.005,FinCast,128,0.5141700404858299,0.50996972887602,62,7,55,0.4032258064516129,-1.928559361529878,-0.2255238594751463
SPY,5,0.005,FinCast,128,0.4878048780487805,0.4924242424242424,50,7,43,0.32,-2.7496057346317335,-0.30529120568460966
SPY,6,0.0075,FinCast,128,0.4816326530612245,0.4851333333333334,41,5,36,0.3902439024390244,-1.392206034467726,-0.16950958949068318
SPY,7,0.01,FinCast,128,0.5409836065573771,0.5390672319806178,35,3,32,0.3142857142857143,-3.0781684452510216,-0.27241980757709294
SPY,8,0.015,FinCast,128,0.6131687242798354,0.5489160839160839,31,2,29,0.2903225806451613,-3.4920175763612855,-0.2696667247945228
SPY,9,0.0175,FinCast,128,0.6033057851239669,0.5477464788732395,27,1,26,0.25925925925925924,-2.066198675713341,-0.22365165857635516
SPY,10,0.017,FinCast,128,0.5518672199170125,0.5390365448504982,25,1,24,0.28,-2.2775518152249714,-0.2622522086421115
TSLA,2,0.0025,FinCast,128,0.4899598393574297,0.47420583677685946,125,66,59,0.48,0.044255976965723635,-0.15310337469827884
TSLA,3,0.0025,FinCast,128,0.5282258064516129,0.511319281811085,83,46,37,0.4457831325301205,-0.6523283570237493,-0.44894664244973115
TSLA,4,0.005,FinCast,128,0.5910931174089069,0.5877677046380239,62,32,30,0.5,-0.7869250892687489,-0.4990849281984928
TSLA,5,0.005,FinCast,128,0.5609756097560976,0.5595537605932204,50,26,24,0.5,0.19327290926129082,-0.07107503667602999
TSLA,6,0.0075,FinCast,128,0.5428571428571428,0.5084412117976779,41,17,24,0.4146341463414634,-0.04045340743678511,-0.18253522855089988
TSLA,7,0.01,FinCast,128,0.5081967213114754,0.49304201680672266,35,15,20,0.42857142857142855,0.7053131670518447,0.28848271449480944
TSLA,8,0.015,FinCast,128,0.5020576131687243,0.5003387533875339,31,11,20,0.3548387096774194,-1.6086155561328819,-0.6639560914681872
TSLA,9,0.0175,FinCast,128,0.5206611570247934,0.5013668671405138,27,8,19,0.37037037037037035,-0.11075805731017901,-0.23298881406913308
TSLA,10,0.017,FinCast,128,0.48132780082987553,0.4956605593056895,25,10,15,0.6,0.38740072122586044,0.03594297016941406
