Date,Close,Weighted Sentiment Score,Combi 1: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 1 Days,Combi 2: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 2 Days,Combi 3: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 3 Days,Combi 4: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 4 Days,Combi 5: Crossover (Price & EMA 20) + Crossover (Price & EMA 50),Combi 5 Days,Combi 6: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 6 Days,Combi 7: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 7 Days,Combi 8: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 8 Days,Combi 9: Crossover (Price & EMA 20) + SMA Crossover (8 & 12),Combi 9 Days,Combi 10: Crossover (Price & EMA 12) +Crossover (Price & EMA 50),Combi 10 Days
28/3/2023,189.1900024,0.5253050171514706,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
29/3/2023,193.8800049,0.4889419584473387,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
30/3/2023,195.2799988,0.4972779783132529,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
31/3/2023,207.4600067,0.1343168248888574,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
3/4/2023,194.7700043,0.3180564215819419,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
4/4/2023,192.5800018,0.5862270509938505,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
5/4/2023,185.5200043,0.4714834669342104,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Sell,10.0,Sell,10.0,Sell,10.0,Hold,10.0,Sell,10.0
6/4/2023,185.0599976,0.839062238055532,Sell,9.0,Hold,10.0,Sell,10.0,Hold,10.0,Sell,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Sell,10.0,Hold,10.0
10/4/2023,184.5099945,0.5933580069814035,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
11/4/2023,186.7899933,0.6144465598435199,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
12/4/2023,180.5399933,0.5616800797973046,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
13/4/2023,185.8999939,0.7225174037254902,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
14/4/2023,185.0,0.5179922283478922,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
17/4/2023,187.0399933,0.7335677991833333,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
18/4/2023,184.3099976,0.2360353299961808,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
19/4/2023,180.5899963,0.1255588607822988,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
20/4/2023,162.9900055,0.0975129359440378,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
21/4/2023,165.0800018,0.3131139781753694,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
24/4/2023,162.5500031,0.2154830588888888,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
25/4/2023,160.6699982,0.5354969480460599,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
26/4/2023,153.75,0.0992166367567567,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
27/4/2023,160.1900024,0.1911857049228303,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
28/4/2023,164.3099976,0.2522702178072581,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
1/5/2023,161.8300018,0.6531412879032259,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
2/5/2023,160.3099976,0.5552764791666666,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
3/5/2023,160.6100006,0.3370960472832839,Hold,9.0,Hold,10.0,Hold,10.0,Buy,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
4/5/2023,161.1999969,0.4514327265393563,Hold,9.0,Hold,10.0,Hold,10.0,Buy,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
5/5/2023,170.0599976,0.5758057892677273,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
8/5/2023,171.7899933,0.9532884862138464,Buy,9.0,Buy,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Buy,10.0,Buy,10.0,Buy,10.0,Hold,10.0
9/5/2023,169.1499939,0.759609178076923,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Buy,10.0,Buy,10.0,Hold,10.0
10/5/2023,168.5399933,0.6366556445450163,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Sell,10.0,Hold,10.0,Hold,10.0,Hold,10.0
11/5/2023,172.0800018,0.9824104380434784,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
12/5/2023,167.9799957,0.5135302436237569,Buy,9.0,Hold,10.0,Buy,10.0,Hold,10.0,Buy,10.0,Hold,10.0,Buy,10.0,Hold,10.0,Hold,10.0,Hold,10.0
15/5/2023,166.3500061,0.8260256486360551,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Sell,10.0,Hold,10.0,Hold,10.0,Hold,10.0
16/5/2023,166.5200043,0.6207734251426857,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
17/5/2023,173.8600006,0.6642104672198864,Buy,9.0,Buy,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
18/5/2023,176.8899994,0.244600763064,Hold,9.0,Hold,10.0,Buy,10.0,Hold,10.0,Buy,10.0,Buy,10.0,Buy,10.0,Hold,10.0,Hold,10.0,Buy,10.0
19/5/2023,180.1399994,0.4964169109375,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
22/5/2023,188.8699951,0.4482994555071636,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
23/5/2023,185.7700043,0.5152066530161262,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
24/5/2023,182.8999939,0.2451781323040337,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
25/5/2023,184.4700012,0.5172436041093862,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
26/5/2023,193.1699982,0.7074181876923076,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
30/5/2023,201.1600037,0.5234166373822043,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
31/5/2023,203.9299927,0.3629847373667214,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
1/6/2023,207.5200043,0.6682084566442038,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
2/6/2023,213.9700012,0.3915173138091494,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
5/6/2023,217.6100006,0.4572496160182043,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
6/6/2023,221.3099976,0.3788335421393403,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
7/6/2023,224.5700073,0.4939747092388945,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
8/6/2023,234.8600006,0.8389866126807362,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
9/6/2023,244.3999939,0.4927220703574404,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
12/6/2023,249.8300018,0.2756906607111556,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
13/6/2023,258.7099915,0.48888319317378,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
14/6/2023,256.7900085,0.2915595111745768,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
15/6/2023,255.8999939,0.4492229683918572,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
16/6/2023,260.5400085,0.6812760906978774,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
20/6/2023,274.4500122,0.4694342185142385,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
21/6/2023,259.4599915,0.6515818243820223,Hold,9.0,Hold,10.0,Hold,10.0,Sell,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
22/6/2023,264.6099854,0.4399490523188405,Hold,9.0,Hold,10.0,Hold,10.0,Sell,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
