Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
META,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4715447154471545,0.46384803921568635,50,18,32,0,0.34,-1.3866350502972733,-0.4144070428963528
META,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.45714285714285713,0.474073571331614,41,11,30,0,0.36585365853658536,-1.9993885817765509,-0.4626400238949192
META,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.45081967213114754,0.4624863834422658,35,7,28,0,0.4,-1.1773525427536964,-0.337109906056141
META,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.448559670781893,0.4699115044247788,31,3,28,0,0.3225806451612903,-3.0203165161094283,-0.5924390679857363
META,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.4669421487603306,0.45079278294149816,27,2,25,0,0.4074074074074074,-0.8015423217378707,-0.2849486645075374
META,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.48132780082987553,0.4614906832298136,25,3,22,0,0.28,-2.6373206547071755,-0.5866102538933126
NVDA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4979919678714859,0.48633524206142636,125,65,60,0,0.536,0.03618151028043006,-0.10004780918969125
NVDA,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.532258064516129,0.5006993006993007,83,52,31,0,0.4939759036144578,0.025478994319002184,-0.12269183112205573
NVDA,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4898785425101215,0.48678532901833876,62,37,25,0,0.5645161290322581,1.8645929278105842,1.2447077746475483
NVDA,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5,0.44989106753812635,50,30,20,0,0.58,0.14717274990612567,-0.07420544050441003
NVDA,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.5102040816326531,0.4300350877192982,41,26,15,0,0.5365853658536586,1.2975488385021026,0.7310546104405395
NVDA,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.5286885245901639,0.44559884559884555,35,21,14,0,0.45714285714285713,-0.33717361613517677,-0.2433430196724764
NVDA,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.5185185185185185,0.4296586059743954,31,17,14,0,0.3870967741935484,-1.0341451310288565,-0.46924283022226954
NVDA,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5289256198347108,0.456589767848046,27,14,13,0,0.37037037037037035,-0.5330934058331182,-0.3615576848002976
NVDA,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.4730290456431535,0.39560439560439564,25,11,14,0,0.36,-1.7593886421056026,-0.6516947098583032
SPY,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5060240963855421,0.5247773906310492,125,51,74,0,0.48,-0.6618480878140794,-0.08787786382598795
SPY,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.49193548387096775,0.47444005270092227,83,46,37,0,0.5542168674698795,0.3233106917909869,0.03342020510049348
SPY,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.46963562753036436,0.43537773098183724,62,33,29,0,0.4838709677419355,-0.574439991813099,-0.08014248185178785
SPY,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4715447154471545,0.42743221690590105,50,26,24,0,0.32,-1.9918019961253493,-0.2402718454887064
SPY,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.42857142857142855,0.4287333333333333,41,16,25,0,0.4878048780487805,0.11747544194464965,0.006772109312807251
SPY,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.47540983606557374,0.44498283868362604,35,13,22,0,0.37142857142857144,-1.8945310270610747,-0.19025301985844023
SPY,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.5637860082304527,0.4461538461538461,31,2,29,0,0.2903225806451613,-3.4920175763612855,-0.2696667247945228
SPY,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5702479338842975,0.4535211267605634,27,1,26,0,0.25925925925925924,-2.066198675713341,-0.22365165857635516
SPY,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.5311203319502075,0.45563399778516056,25,1,24,0,0.28,-2.2775518152249714,-0.2622522086421115
TSLA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4979919678714859,0.478176652892562,125,71,54,0,0.536,2.1618006228277378,2.2397387377572304
TSLA,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4879032258064516,0.48978662503252673,83,52,31,0,0.4819277108433735,-0.07874108148657491,-0.21101729562888594
TSLA,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5263157894736842,0.5491394034949416,62,38,24,0,0.5967741935483871,0.9305263388461308,0.4781132463011266
TSLA,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5121951219512195,0.5374735169491525,50,32,18,0,0.5,0.3074935057423007,-0.0027536682627071762
TSLA,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.5306122448979592,0.514813826237822,41,23,18,0,0.43902439024390244,1.3881709181429631,0.95920514821134
TSLA,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.5,0.47563025210084037,35,18,17,0,0.45714285714285713,0.990136394393295,0.5741828442578034
TSLA,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.49794238683127573,0.47649051490514904,31,12,19,0,0.3870967741935484,-1.1144636249113986,-0.5695494524767909
TSLA,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.49586776859504134,0.46473482777474034,27,11,16,0,0.48148148148148145,-0.02148801242503933,-0.18989258281606425
TSLA,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.46887966804979253,0.4653533544565367,25,11,14,0,0.56,0.3427395020154281,0.005988933951855735
