Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
META,4,0.005,long_short,,500,8,0.29999999999999993,1.0,1.0,0.0,0.0,6.938455074606659,0.9970178926441352,0.9999861660079051,0.50199203187251,0.5628836317135549,62,15,47,0,0.5483870967741935,0.027030600662963995,-0.039673892907616914
META,5,0.005,long_short,,324,10,0.018033524512802657,0.6955303037866205,0.5911180438940312,7.5536141031765265,4.251558744912448,2.079416628681889,0.5636182902584493,0.6018941235528257,0.4262948207171315,0.5,50,0,50,0,0.36,-1.5574139372674727,-0.4449984441584087
META,6,0.0075,long_short,,126,7,0.030569096681227887,0.5,0.9952532099487024,0.06134076481875691,9.717657993878383,6.2071102648163565,0.6093439363817097,0.6702594384367293,0.44621513944223107,0.5302864850976362,41,0,41,0,0.34146341463414637,-1.8850047617923165,-0.448020620317209
META,7,0.0075,long_short,,325,3,0.01081598305522509,0.7623873301291946,0.6999304858576278,0.4666566321361543,9.737555188414595,2.3277134043030427,0.6083499005964215,0.6543152785682667,0.44223107569721115,0.49890604890604895,35,0,35,0,0.34285714285714286,-1.7079865749536804,-0.43084021047522214
META,8,0.01,long_short,,500,3,0.01,0.5,0.5,5.475827001510314,2.2478361661871378,3.003283954693001,0.5646123260437376,0.6156544457092266,0.46613545816733065,0.565218777905345,31,0,31,0,0.3548387096774194,-1.7421670607115909,-0.44570065792266733
META,9,0.01,long_short,,500,12,0.023221621078440245,0.6151066384517613,0.5,5.457176031844524,5.278713599507628,0.0,0.5606361829025845,0.6306357581865971,0.46613545816733065,0.52672534762087,27,0,27,0,0.3333333333333333,-1.5599032166728786,-0.43773719717122117
META,10,0.015000000000000001,long_short,,308,9,0.031160304181691825,0.7401403716542496,0.5,8.806671769910327,1.0637160140543236,2.8459446437704354,0.5596421471172962,0.63806051263809,0.4900398406374502,0.49422002032520324,25,0,25,0,0.32,-1.4442458786378163,-0.43094139494727224
NVDA,2,0.005,long_short,,408,5,0.14180715647623932,0.7984250789732436,0.7229163764267956,0.9997491581800291,4.592488919658672,3.337086111390219,0.6083499005964215,0.6701270725874983,0.4940239043824701,0.5625556261919898,125,7,118,0,0.448,-1.728505059580518,-0.6169647058622796
NVDA,3,0.0075,long_short,,56,11,0.06792740114629245,0.692708251269958,0.5079831261101071,2.3089382562214906,2.410254660260118,6.832635188254583,0.5894632206759444,0.6295521030993042,0.47808764940239046,0.541682612578135,83,16,67,0,0.42168674698795183,-1.5071505915578596,-0.6072709240211136
NVDA,4,0.0125,long_short,,500,5,0.01,0.6069243133715477,0.5,2.0106687324775536,0.0,0.0,0.7157057654075547,0.7852735881869348,0.4860557768924303,0.5665967987804879,62,0,62,0,0.3870967741935484,-2.1035445555495067,-0.6765495163419737
NVDA,5,0.0125,long_short,,281,12,0.29999999999999993,0.7540190943549729,0.8784625615932536,0.0,8.938281554582975,4.052003719811669,0.7415506958250497,0.8276970269554458,0.46215139442231074,0.4893039591315454,50,0,50,0,0.34,-1.7170498753741483,-0.66683239253883
NVDA,6,0.015000000000000001,long_short,,500,6,0.09546523679267305,0.7974007504439984,0.6013817135561023,0.0,10.0,0.0,0.6968190854870775,0.7551482213438735,0.43824701195219123,0.5054390054390054,41,0,41,0,0.2926829268292683,-1.915075531218128,-0.6690667772196037
NVDA,7,0.017499999999999998,long_short,,50,3,0.29999999999999993,0.5,0.5,0.0,10.0,10.0,0.6332007952286283,0.6802663409543687,0.4262948207171315,0.4888744307091737,35,0,35,0,0.3142857142857143,-2.168861980640043,-0.6547884866807931
NVDA,8,0.017499999999999998,long_short,,500,3,0.012775869613041236,0.7617619616581787,0.9057084490457015,0.0,10.0,8.640558108492598,0.6451292246520874,0.7052429793877592,0.41832669322709165,0.4606327462491846,31,0,31,0,0.22580645161290322,-2.124461527141745,-0.6663603400568665
NVDA,9,0.02,long_short,,479,3,0.10038037110134818,0.9185842769622283,0.7916893474459834,3.066133106316768,0.0,0.208576985252458,0.6640159045725647,0.7597015810276679,0.41434262948207173,0.5537022501308215,27,0,27,0,0.37037037037037035,-1.6723794385532114,-0.6363821037131696
NVDA,10,0.0225,long_short,,357,3,0.29999999999999993,0.8484408851275171,0.9864286184676132,3.183704796754525,0.2647353044643149,0.0,0.6998011928429424,0.7809071146245059,0.450199203187251,0.5615942028985508,25,0,25,0,0.32,-1.760841775644853,-0.6583939415032531
SPY,2,0.0025,long_short,,321,8,0.06935057061886432,0.5467119321873706,0.7017255949892416,2.6100797030171723,3.378964894631549,5.661994474626349,0.5825049701789264,0.6152193081305924,0.5099601593625498,0.5398730158730158,125,23,102,0,0.344,-2.6522198487300432,-0.28964462478593467
SPY,3,0.0025,long_short,,55,11,0.019466500968878243,0.5,0.6625218617734657,4.850039313237354,0.0,10.0,0.5497017892644135,0.5933830658725292,0.5219123505976095,0.5389572912658714,83,33,50,0,0.4457831325301205,-1.681843062169804,-0.19740631854493262
SPY,4,0.005,long_short,,157,3,0.1753682390558841,0.9538971837615832,0.5813091695284581,4.953799495980728,2.715445542212838,7.9561798457139234,0.6113320079522863,0.6438243717956834,0.5378486055776892,0.5440932311621967,62,0,62,0,0.3548387096774194,-2.4286663040557253,-0.270641304389021
SPY,5,0.005,long_short,,292,8,0.19204978420648905,0.7251399380686613,0.5,5.09506757227231,3.622977711652654,0.7409296415795272,0.5924453280318092,0.6285907955479668,0.47410358565737054,0.5709511077158136,50,0,50,0,0.36,-2.0321964884992276,-0.24537003597502993
SPY,6,0.005,long_short,,451,12,0.19261071010690758,0.5,0.5584349099644743,10.0,0.0,0.0,0.6093439363817097,0.644545087930162,0.47410358565737054,0.628256704980843,41,0,41,0,0.3170731707317073,-2.224069132219505,-0.24682657594360635
SPY,7,0.0075,long_short,,113,4,0.0524948089230876,0.5240925793727704,0.6718536474301149,10.0,0.0,2.2916706805100593,0.5805168986083499,0.6190141067813764,0.47808764940239046,0.5192748091603054,35,0,35,0,0.34285714285714286,-2.5331018993053807,-0.23775295669221486
SPY,8,0.0075,long_short,,134,4,0.01,0.7472921154417587,0.5,10.0,3.787994972833038,0.0,0.5894632206759444,0.6179389509242009,0.44223107569721115,0.4540862290862291,31,0,31,0,0.3225806451612903,-3.058388862674446,-0.24766540946807458
SPY,9,0.01,long_short,,377,7,0.024454296886784334,0.5,0.5106685784086669,3.745843710608472,5.060377545319659,1.9325689589875805,0.5904572564612326,0.6266524967543776,0.4820717131474104,0.38757151938970125,27,0,27,0,0.25925925925925924,-2.0535945747133035,-0.22263196987861278
SPY,10,0.01,long_short,,408,5,0.14180715647623932,0.7984250789732436,0.7229163764267956,0.9997491581800291,4.592488919658672,3.337086111390219,0.6759443339960238,0.7395062460468058,0.4581673306772908,0.48577365728900257,25,0,25,0,0.32,-1.85595190640685,-0.2262568093023376
TSLA,2,0.0025,long_short,,500,3,0.29999999999999993,1.0,0.6545283555874646,0.0,4.62785295785805,0.0,0.6481113320079522,0.7097226174666413,0.5179282868525896,0.5177368086458995,125,92,33,0,0.52,1.2879418104671816,0.8579293979559379
TSLA,3,0.005,long_short,,50,3,0.031062117889085996,1.0,0.964101628539521,4.393848511446605,0.0,3.9460030118720772,0.5924453280318092,0.6307649432943436,0.4820717131474104,0.5125636132315522,83,82,1,0,0.5301204819277109,1.1827438402369346,0.7497387588193458
TSLA,4,0.005,long_short,,147,11,0.013569654324990452,0.7883306989005356,0.7433374993706441,5.98258354213078,2.4711041194851466,0.0,0.6003976143141153,0.6495297917169026,0.5298804780876494,0.5639734930546706,62,57,5,0,0.5967741935483871,2.039572258664468,2.0227196778410184
TSLA,5,0.01,long_short,,387,9,0.10456948119239355,0.6086394260327523,0.8623726879332527,5.75709866303942,10.0,0.09934563589177164,0.6033797216699801,0.637080294855833,0.5378486055776892,0.5454022988505747,50,42,8,0,0.54,1.7438588480808317,1.4201216990257772
TSLA,6,0.01,long_short,,88,3,0.29999999999999993,0.7270930195148325,0.8421771082000074,9.73763188958827,5.872346874622796,10.0,0.6123260437375746,0.6527692690773845,0.5338645418326693,0.5488491048593349,41,36,5,0,0.5853658536585366,2.0760792941433355,1.8830736914111506
TSLA,7,0.0125,long_short,,500,3,0.29999999999999993,0.72152833243013,1.0,7.646979469648207,8.438832133767315,6.13971351542534,0.617296222664016,0.6623695652173913,0.50199203187251,0.5007343550446999,35,31,4,0,0.5142857142857142,1.6854134537800212,1.5717009939233995
TSLA,8,0.017499999999999998,long_short,,100,6,0.01361482718141393,0.5799306727778786,1.0,1.9571749467901451,10.0,1.1485679772313535,0.6401590457256461,0.6904962352522678,0.4900398406374502,0.4875859434682965,31,24,7,0,0.6451612903225806,2.5015333566056923,2.7477325920504976
TSLA,9,0.0225,long_short,,323,3,0.01,0.5556022810193496,0.9869888837320876,2.0122837655709995,10.0,7.5760699560024225,0.6292246520874751,0.6829912290063362,0.5179282868525896,0.4885869565217391,27,22,5,0,0.6666666666666666,2.2606208220456603,2.3344921675258807
TSLA,10,0.0225,long_short,,396,7,0.0934730865701845,0.5,0.5592055558531946,5.497810488314649,7.644007855419725,10.0,0.6341948310139165,0.6818409995533473,0.5139442231075697,0.47639225181598066,25,20,5,0,0.6,2.39825962209131,2.8298334018906086
