Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,learning_rate,dropout_rate,lstm_units_1,lstm_units_2,batch_size,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,Model,n_estimators,max_depth,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,num_leaves,min_samples_split,min_samples_leaf,max_features,criterion,C,penalty,l1_ratio,kernel
META,9,0.01,long_short,,0.0022516571735134,0.2878703498382224,32.0,128.0,48.0,0.5153688524590164,0.6424872424872423,0.5248868778280543,0.69376026272578,27,0,27,0,0.3333333333333333,-1.5599032166728786,-0.4377371971712211,LSTM,,,,,,,,,,,,,,,,
META,10,0.015,long_short,,0.006508145804938,0.1971624644261703,193.0,69.0,37.0,0.5471311475409836,0.5750440917107584,0.5520361990950227,0.5812220566318926,25,0,25,0,0.32,-1.4442458786378165,-0.4309413949472722,LSTM,,,,,,,,,,,,,,,,
NVDA,2,0.005,long_short,,0.0033309292883818,0.4303116014873851,49.0,97.0,24.0,0.5399590163934426,0.605559754766104,0.5203619909502263,0.5282430213464695,125,1,124,0,0.432,-2.068184259173552,-0.6733257061845397,LSTM,,,,,,,,,,,,,,,,
NVDA,3,0.0075,long_short,,0.0027530843248058,0.1,250.0,72.0,25.0,0.507172131147541,0.5669473197975938,0.5203619909502263,0.5814067879980324,83,9,74,0,0.4457831325301205,-1.155119660556357,-0.53164627677009,LSTM,,,,,,,,,,,,,,,,
NVDA,4,0.0125,long_short,,0.002869433114734,0.5,213.0,19.0,64.0,0.5440573770491803,0.5930172008331653,0.5384615384615384,0.5734058329214038,62,0,62,0,0.3870967741935484,-2.1035445555495067,-0.6765495163419737,LSTM,,,,,,,,,,,,,,,,
NVDA,5,0.0125,long_short,,0.003126837452452,0.4002728956722758,125.0,48.0,51.0,0.5881147540983607,0.6541405662477996,0.5067873303167421,0.5502129750982961,50,0,50,0,0.34,-1.7170498753741483,-0.66683239253883,LSTM,,,,,,,,,,,,,,,,
NVDA,6,0.015,long_short,,0.0022675855892523,0.1356393967338825,59.0,86.0,28.0,0.5645491803278688,0.7297682035777274,0.4796380090497738,0.3943396226415094,41,0,41,0,0.2926829268292683,-1.915075531218128,-0.6690667772196037,LSTM,,,,,,,,,,,,,,,,
NVDA,7,0.0174999999999999,long_short,,0.0022506634660351,0.2493949963702716,248.0,83.0,16.0,0.5717213114754098,0.6028257226028404,0.420814479638009,0.4240631163708087,35,12,23,0,0.4285714285714285,-0.9187821365545776,-0.4170428462341137,LSTM,,,,,,,,,,,,,,,,
NVDA,8,0.0174999999999999,long_short,,0.0012816141203153,0.2744856496261235,250.0,70.0,62.0,0.7161885245901639,0.7835208257223601,0.4660633484162896,0.4760572650979101,31,0,31,0,0.2258064516129032,-2.124461527141745,-0.6663603400568665,LSTM,,,,,,,,,,,,,,,,
NVDA,9,0.02,long_short,,0.0052857997022267,0.2716939663814017,71.0,20.0,18.0,0.6782786885245902,0.7469640217683418,0.4615384615384615,0.2977426264623496,27,0,27,0,0.3703703703703703,-1.6723794385532114,-0.6363821037131696,LSTM,,,,,,,,,,,,,,,,
