Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,learning_rate,subsample,min_samples_split,min_samples_leaf,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
META,3,0.0025,long_short,,50,5,0.2955652860943031,0.5,14,8,0.8220675944333996,0.9059563668850035,0.4940239043824701,0.5739531310026892,83,31,52,0,0.4939759036144578,-0.3704936711985965,-0.15938241828331023
META,4,0.005,long_short,,50,11,0.11473521560632093,0.9418847972703946,8,4,0.9831013916500994,0.9988418972332016,0.4860557768924303,0.551150895140665,62,7,55,0,0.5161290322580645,-0.7612495890576856,-0.24624164975392604
META,5,0.005,long_short,,50,3,0.01,1.0,20,10,0.6252485089463221,0.6820386334799777,0.4302788844621514,0.5949831256490135,50,1,49,0,0.38,-0.4267016798910591,-0.19592247958692033
META,6,0.0075,long_short,,472,3,0.292157327654986,0.8087407548138583,13,1,1.0,1.0,0.46215139442231074,0.6207926515930114,41,5,36,0,0.4634146341463415,0.24868108415545226,0.030108208360384747
META,7,0.0075,long_short,,50,12,0.29999999999999993,1.0,2,1,1.0,1.0,0.46215139442231074,0.5672136422136422,35,5,30,0,0.4857142857142857,-0.5626955787837875,-0.20182723096123878
META,8,0.01,long_short,,342,3,0.01,0.9940978700213743,11,1,0.6938369781312127,0.7923030101814963,0.46613545816733065,0.5673874218650338,31,0,31,0,0.3548387096774194,-1.7421670607115909,-0.44570065792266733
META,9,0.01,long_short,,282,3,0.01,0.946069193697249,12,2,0.7137176938369781,0.7942827216853421,0.4701195219123506,0.6019581579283072,27,1,26,0,0.37037037037037035,-1.1958663268374197,-0.37040153599144265
META,10,0.015000000000000001,long_short,,500,3,0.10178571769559393,0.8142350092946035,18,1,0.9731610337972167,0.9969763443410209,0.50199203187251,0.5391260162601625,25,3,22,0,0.44,-1.0467369652793146,-0.3517531425586179
NVDA,2,0.005,long_short,,50,3,0.02194064177478029,1.0,16,1,0.6033797216699801,0.662008655955416,0.4940239043824701,0.571106166560712,125,4,121,0,0.44,-1.9744381908512811,-0.6586963493661985
NVDA,3,0.0075,long_short,,229,5,0.19184675758486452,0.5,17,5,0.9662027833001988,0.9962326059456041,0.4900398406374502,0.5421290980992475,83,15,68,0,0.43373493975903615,-0.19035468196817074,-0.21971633445266636
NVDA,4,0.0125,long_short,,500,3,0.01,0.7766465672135905,13,5,0.7236580516898609,0.7977692404983242,0.4860557768924303,0.5466526930894309,62,0,62,0,0.3870967741935484,-2.1035445555495067,-0.6765495163419737
NVDA,5,0.0125,long_short,,71,8,0.02071170385365367,0.6136609638731254,19,4,0.7852882703777336,0.8655271511188942,0.46215139442231074,0.5588122605363985,50,0,50,0,0.34,-1.7170498753741483,-0.66683239253883
NVDA,6,0.015000000000000001,long_short,,50,4,0.10216215643929691,1.0,16,7,0.7455268389662028,0.8364980237154149,0.4302788844621514,0.5465552965552966,41,0,41,0,0.2926829268292683,-1.915075531218128,-0.6690667772196037
NVDA,7,0.017499999999999998,long_short,,50,3,0.01,0.8676813030713697,15,5,0.6083499005964215,0.6978544097650444,0.42231075697211157,0.5428432010409889,35,0,35,0,0.3142857142857143,-2.168861980640043,-0.6547884866807931
NVDA,8,0.017499999999999998,long_short,,500,3,0.022444927157872146,1.0,20,7,0.7872763419483101,0.8642516946305409,0.41832669322709165,0.5355512067840835,31,0,31,0,0.22580645161290322,-2.124461527141745,-0.6663603400568665
NVDA,9,0.02,long_short,,50,6,0.012104790151917011,0.6202621712794427,13,3,0.757455268389662,0.8356264822134388,0.41434262948207173,0.5534079016221873,27,0,27,0,0.37037037037037035,-1.6723794385532114,-0.6363821037131696
NVDA,10,0.0225,long_short,,147,12,0.01,0.5,12,10,0.7833001988071571,0.8780434782608696,0.450199203187251,0.5792612543285878,25,0,25,0,0.32,-1.760841775644853,-0.6583939415032531
SPY,2,0.0025,long_short,,50,3,0.01,0.7736277503889603,2,1,0.5815109343936382,0.6561371876841077,0.4900398406374502,0.5093968253968255,125,2,123,0,0.328,-2.4964554951449647,-0.2762321032253948
SPY,3,0.0025,long_short,,500,7,0.01704244828683804,1.0,14,1,0.8996023856858847,0.9741476541939569,0.4581673306772908,0.6171283827112992,83,4,79,0,0.3855421686746988,-2.281724872313127,-0.25346285176198724
SPY,4,0.005,long_short,,217,3,0.01000835127672329,0.9436809049106327,15,9,0.6401590457256461,0.7222094752832457,0.5378486055776892,0.5956257982120051,62,0,62,0,0.3548387096774194,-2.4286663040557253,-0.270641304389021
SPY,5,0.005,long_short,,50,5,0.0667638540736034,0.9953187782568211,8,10,0.7495029821073559,0.8439990039840638,0.4701195219123506,0.5414756811815635,50,1,49,0,0.38,-1.9109605528275961,-0.23374243164320918
SPY,6,0.005,long_short,,305,3,0.17545136166066816,0.7248770666848829,9,9,0.8966202783300199,0.9640035899544535,0.47410358565737054,0.5402618135376756,41,4,37,0,0.3170731707317073,-2.9450032584524406,-0.3012416462998536
SPY,7,0.0075,long_short,,183,3,0.29999999999999993,0.8268907399176957,16,10,0.9075546719681908,0.9692936329706479,0.47808764940239046,0.5207379134860052,35,4,31,0,0.45714285714285713,-1.5274248205959395,-0.15937406539197418
SPY,8,0.0075,long_short,,500,3,0.29999999999999993,0.5,20,2,0.9970178926441352,0.999944623100869,0.41832669322709165,0.4612612612612612,31,2,29,0,0.3225806451612903,-2.586241367773429,-0.22050993122164175
SPY,9,0.01,long_short,,500,12,0.036525385570238426,0.5516996781870757,2,10,0.9930417495029821,0.9997902219689053,0.46215139442231074,0.4830896376350922,27,1,26,0,0.2222222222222222,-2.7650053643902064,-0.27398196464435065
SPY,10,0.01,long_short,,177,12,0.029202089004790502,0.5,17,1,0.952286282306163,0.9935523402909551,0.4581673306772908,0.5434143222506395,25,0,25,0,0.32,-1.85595190640685,-0.2262568093023376
TSLA,2,0.0025,long_short,,386,3,0.18351652440166938,0.9270156211945244,7,1,0.989065606361829,0.999181844052362,0.4820717131474104,0.4981881754609027,125,91,34,0,0.488,0.10749280765981753,-0.11986494561358563
TSLA,3,0.005,long_short,,184,3,0.10778619249929042,0.5539685875155348,9,10,0.7693836978131213,0.8594474509137339,0.49800796812749004,0.4772582697201018,83,62,21,0,0.6024096385542169,1.9307522558651615,1.6704084966928088
TSLA,4,0.005,long_short,,91,9,0.03672338759552655,0.9916154429033942,10,9,0.8677932405566601,0.9487909776932717,0.5298804780876494,0.5527590161845292,62,42,20,0,0.6612903225806451,3.0998170648861496,4.609890220854083
TSLA,5,0.01,long_short,,50,3,0.01,0.5,20,1,0.6421471172962226,0.7040513033339262,0.5179282868525896,0.5564495530012772,50,42,8,0,0.54,1.7438588480808317,1.4201216990257772
TSLA,6,0.01,long_short,,50,3,0.024590038348430467,0.8921829789765061,5,3,0.6669980119284294,0.7469912137512894,0.5179282868525896,0.5435102301790281,41,35,6,0,0.5853658536585366,2.074617963210587,1.8808069342988714
TSLA,7,0.0125,long_short,,105,3,0.023838620436700843,1.0,5,4,0.6709741550695825,0.7636857707509881,0.4860557768924303,0.501309067688378,35,29,6,0,0.5142857142857142,1.6200108084598472,1.4650528920906143
TSLA,8,0.017499999999999998,long_short,,50,3,0.01164423504529867,1.0,13,10,0.6620278330019881,0.7320428450030632,0.47808764940239046,0.46434937611408195,31,26,5,0,0.5806451612903226,1.8865590273748643,1.683553595025916
TSLA,9,0.0225,long_short,,50,3,0.01,0.8882316799226762,18,3,0.6510934393638171,0.7361824240196368,0.4820717131474104,0.4778772378516624,27,24,3,0,0.5925925925925926,1.730555764994681,1.472171777387814
TSLA,10,0.0225,long_short,,84,3,0.01,0.7719950511036286,14,1,0.658051689860835,0.7517006399386544,0.4940239043824701,0.4831782846947878,25,23,2,0,0.64,2.1699188236124156,2.3594673827910655
