Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,C,kernel,gamma,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
SPY,6,0.005,long_short,,0.01,linear,,0.5854870775347912,0.6322174690030364,0.47410358565737054,0.7320561941251598,41,0,41,0,0.3170731707317073,-2.224069132219505,-0.24682657594360635
SPY,7,0.0075,long_short,,3.531450721645706,poly,3.6912480224819535,0.547713717693837,0.7844584229504049,0.43824701195219123,0.5651399491094148,35,1,34,0,0.37142857142857144,-2.252859895288379,-0.21778090160198893
SPY,8,0.0075,long_short,,0.01,linear,,0.5834990059642147,0.6213723186703216,0.4541832669322709,0.7251608751608751,31,0,31,0,0.3225806451612903,-3.058388862674446,-0.24766540946807458
SPY,9,0.01,long_short,,0.010409375850045042,linear,,0.5914512922465208,0.6285009182736455,0.4940239043824701,0.7393515575333757,27,0,27,0,0.25925925925925924,-2.0535945747133035,-0.22263196987861278
SPY,10,0.01,long_short,,5.263438636020984,rbf,0.001,0.5924453280318092,0.6367923782416193,0.4701195219123506,0.7232097186700768,25,0,25,0,0.32,-1.85595190640685,-0.2262568093023376
TSLA,2,0.0025,long_short,,0.5933872789258281,linear,,0.5715705765407555,0.6182670113198001,0.5219123505976095,0.529815638906548,125,96,29,0,0.52,0.7330706284243018,0.3070226057162746
TSLA,3,0.005,long_short,,1.4508798489727976,rbf,0.001,0.5725646123260437,0.6217936301502531,0.5258964143426295,0.5500636132315522,83,69,14,0,0.6144578313253012,1.7169082746545485,1.354636592081249
TSLA,4,0.005,long_short,,0.01247984254896868,linear,,0.5964214711729622,0.6455352942804172,0.5617529880478087,0.5804128966484006,62,50,12,0,0.5645161290322581,1.7508077111867228,1.5378164305770752
TSLA,5,0.01,long_short,,1.252815435477494,rbf,0.001,0.621272365805169,0.6619592498171973,0.5657370517928287,0.6038952745849298,50,41,9,0,0.52,1.6125680568343477,1.2411503349254596
TSLA,6,0.01,long_short,,1.1853406358124856,rbf,0.001,0.617296222664016,0.6781063124236687,0.5657370517928287,0.5862212276214834,41,23,18,0,0.6341463414634146,2.0373874014851183,1.819326096069965
TSLA,7,0.0125,long_short,,1.1224924656206217,rbf,0.001,0.621272365805169,0.686401185770751,0.5617529880478087,0.5831417624521072,35,24,11,0,0.6,2.3320534551024585,2.8392071677379587
TSLA,8,0.017499999999999998,long_short,,0.01,linear,,0.6351888667992047,0.6980375881899568,0.5378486055776892,0.5555131143366437,31,22,9,0,0.5806451612903226,2.0340144667358517,1.9249651361978892
TSLA,9,0.0225,long_short,,0.012350049387373808,linear,,0.6282306163021869,0.6952544141537513,0.5258964143426295,0.5632672634271101,27,19,8,0,0.7777777777777778,3.077772007778014,3.9800858275397717
TSLA,10,0.0225,long_short,,1.5097913524096134,rbf,0.001,0.6153081510934394,0.6971181020818757,0.5617529880478087,0.5685930929017459,25,10,15,0,0.6,1.6761891122251789,1.3576739330295897
