Stock,Ablation,Model,Horizon,Threshold,Seed,Best_Params,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar,HParams
META,news_only,gradient_boosting,5,0.0,2024,"{""n_estimators"": ""114"", ""learning_rate"": 0.2991991885000798, ""max_depth"": ""6""}",0.5224489795918368,0.517163504968383,48,0.5833333333333334,0.1500194093922442,-0.0955659724157305,-0.306445488005759,0.1780979192462702,0.5121951219512195,0.5258278145695364,49,0.5510204081632653,0.8640485852310417,2.505937687954724,-0.1820057194973978,1.3091154304587376,13.768455710484147,
META,news_only,gradient_boosting,5,0.0,31415,"{""n_estimators"": ""352"", ""learning_rate"": 0.04487520709712576, ""max_depth"": ""3""}",0.4653061224489795,0.5158461306835291,48,0.5,-0.719261511118917,-0.839108375147711,-0.5043486800525169,-1.202749327905306,0.532520325203252,0.5546183339142557,49,0.5102040816326531,0.0683883318549909,-0.1949606117573016,-0.2814057604169446,0.0818808596408197,-0.6928095980282649,
META,news_only,gradient_boosting,10,0.0025,42,"{""n_estimators"": ""50"", ""learning_rate"": 0.025953842811051748, ""max_depth"": ""4""}",0.3833333333333333,0.5456263736263736,23,0.4347826086956521,-2.475808997573431,-0.9999317815202894,-0.62243357038567,-3.235458634240852,0.516260162601626,0.5380912221519432,24,0.625,0.012919939548636,-0.4671445522456423,-0.2745720961848616,0.0171574322429637,-1.701354794374761,
META,news_only,gradient_boosting,10,0.0025,7,"{""n_estimators"": ""50"", ""learning_rate"": 0.18028741931781178, ""max_depth"": ""3""}",0.5208333333333334,0.5491428571428572,23,0.6521739130434783,0.6995645718790514,6.478917579927416,-0.2589574585307064,0.8746774624141013,0.540650406504065,0.5465949820788532,24,0.5416666666666666,-0.2644100662190961,-0.8076736949029342,-0.2273696831328185,-0.3525229190681853,-3.552248847666861,
META,news_only,gradient_boosting,10,0.0025,1337,"{""n_estimators"": ""50"", ""learning_rate"": 0.023349161747765333, ""max_depth"": ""3""}",0.3875,0.5390769230769231,23,0.4347826086956521,-2.475808997573431,-0.9999317815202894,-0.62243357038567,-3.235458634240852,0.5203252032520326,0.5387588727247171,24,0.6666666666666666,0.6358920162079397,4.179007197626874,-0.2745720961848616,0.8079131120438374,15.220072453441398,
META,news_only,gradient_boosting,10,0.0025,2024,"{""n_estimators"": ""302"", ""learning_rate"": 0.011204426216335292, ""max_depth"": ""3""}",0.3958333333333333,0.5409670329670331,23,0.4782608695652174,-1.3985657368444104,-0.9978013735075308,-0.4816166328815773,-2.088710794625085,0.5284552845528455,0.5540094173870265,24,0.5833333333333334,-0.0007577956743695,-0.491676144208462,-0.2745720961848615,-0.0010222433242932,-1.790699605095452,
META,news_only,gradient_boosting,10,0.0025,31415,"{""n_estimators"": ""90"", ""learning_rate"": 0.01, ""max_depth"": ""3""}",0.3875,0.5371428571428571,23,0.4347826086956521,-2.475808997573431,-0.9999317815202894,-0.62243357038567,-3.235458634240852,0.516260162601626,0.5398833368472837,24,0.625,0.012919939548636,-0.4671445522456423,-0.2745720961848616,0.0171574322429637,-1.701354794374761,
META,social_only,gradient_boosting,2,0.0,42,"{""n_estimators"": ""391"", ""learning_rate"": 0.250272151275112, ""max_depth"": ""8""}",0.4717741935483871,0.5125754186156871,123,0.4959349593495935,-1.61386816532485,-0.7748746489787295,-0.5922129580205654,-1.678652439841177,0.491869918699187,0.496386355960824,122,0.4836065573770491,-0.4898370552786185,-0.3750162770840896,-0.364264478741316,-0.8396277046401686,-1.0295164611710848,
META,social_only,gradient_boosting,2,0.0,7,"{""n_estimators"": ""291"", ""learning_rate"": 0.29990964719728874, ""max_depth"": ""10""}",0.4717741935483871,0.5108128262490679,123,0.4878048780487805,-1.6987368644965917,-0.7896564795427892,-0.5800897934176202,-1.774629717255692,0.5,0.5006754474839581,122,0.5081967213114754,0.1728551404462483,0.0023050047620027,-0.235494062565683,0.3046957717489369,0.0097879527699764,
META,social_only,gradient_boosting,2,0.0,1337,"{""n_estimators"": ""264"", ""learning_rate"": 0.1886253121208113, ""max_depth"": ""6""}",0.4798387096774194,0.5129143786861907,123,0.5040650406504065,-1.3101049228769348,-0.7124938243096395,-0.5216530017121275,-1.3485442702622985,0.4715447154471545,0.4974332995609591,122,0.4508196721311475,-1.0955068620039503,-0.5933651797707187,-0.4178057975291954,-1.9173906293213725,-1.4201937437913497,
