Stock,Ablation,Model,Horizon,Threshold,Seed,HParams,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
AAPL,news_only,lstm,2,0.0025,31415,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.5642201834862385,0.6026094276094277,108,0.5277777777777778,-0.888991098465271,-0.3629981045030001,-0.276322008908807,-1.2179691582061996,0.5,0.5308747855917668,107,0.4205607476635514,-1.2466697133557798,-0.5006321406380556,-0.3128910471775038,-1.8909829995052327,-1.600020662636748
AAPL,news_only,lstm,5,0.005,42,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.5348837209302325,0.6347826086956521,42,0.42857142857142855,-0.7295711303116603,-0.5893073288277282,-0.2108694169641873,-1.2968311451140173,0.5046296296296297,0.5211206896551724,43,0.4883720930232558,0.7375997222164091,1.3762610733002707,-0.15207207832993383,1.3502037000230305,9.050057633291171
AAPL,news_only,lstm,5,0.005,7,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.5627906976744186,0.6066956521739131,42,0.6428571428571429,0.4431796545582476,0.46165941180309544,-0.2185936617338999,0.5402100418249217,0.4444444444444444,0.4418965517241379,43,0.3953488372093023,0.5899119985021911,0.9374930360759439,-0.13555160454352652,1.1663980622092536,6.916133816585761
AAPL,news_only,lstm,5,0.005,1337,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.5720930232558139,0.5489565217391305,42,0.6666666666666666,1.332397844871163,2.7058574045187793,-0.1422784071813003,1.679247336832059,0.49074074074074076,0.47267241379310343,43,0.4186046511627907,0.5185052740666828,0.7529294958933157,-0.15830980608132933,0.8910263183123441,4.756050901272087
AAPL,news_only,lstm,5,0.005,2024,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.5348837209302325,0.5699130434782608,42,0.6428571428571429,1.2403476364839245,2.3762944266887027,-0.15548971187711577,1.5939533869038567,0.5370370370370371,0.4994396551724138,43,0.5348837209302325,1.2865609788575065,3.9862861535214877,-0.10310124679588935,2.183584504185326,38.66380162611594
AAPL,news_only,lstm,5,0.005,31415,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.5348837209302325,0.5595652173913043,42,0.6428571428571429,1.2403476364839245,2.3762944266887027,-0.15548971187711577,1.5939533869038567,0.5370370370370371,0.45159482758620684,43,0.5116279069767442,1.2709802799819934,3.8847301309324624,-0.10310124679588935,2.174139286996713,37.67878907054446
AAPL,news_only,lstm,10,0.01,42,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.6238095238095238,0.5943084693084694,20,0.75,0.9745989254582264,5.269661472298074,-0.10822989702744996,1.367439089395418,0.5370370370370371,0.4447897781231115,21,0.6190476190476191,1.3897600518047593,22.23716005648215,-0.07040537007461212,2.6245808496960215,315.84465833950327
AAPL,news_only,lstm,10,0.01,7,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.6571428571428571,0.47329059829059833,20,0.75,1.0445803876482598,6.1881945369034055,-0.1394790793897771,1.4148560504971548,0.5185185185185185,0.46904946904946904,21,0.6190476190476191,1.5628606726106646,32.9974979306731,-0.039132418752789104,2.812290536039958,843.2266387398109
AAPL,news_only,lstm,10,0.01,1337,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.37142857142857144,0.4064685314685315,20,0.2,-1.5289567783424292,-0.9626263892538693,-0.27297214033877115,-2.7447540268413415,0.4583333333333333,0.5531382198048864,21,0.2857142857142857,-1.8352058823755313,-0.9911337800684601,-0.3891349594533501,-2.2940581300563823,-2.5470180871458767
AAPL,news_only,lstm,10,0.01,2024,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.5571428571428572,0.48572261072261075,20,0.6,1.6156119946136571,19.741381324054426,-0.05968803838611615,11.067913092462204,0.5138888888888888,0.39083139083139085,21,0.5714285714285714,0.28279346696745417,0.5642865551330156,-0.1332250690988219,0.3614618404423806,4.235588384003365
