Stock,Ablation,Model,Horizon,Threshold,Seed,Best_Params,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
NVDA,technical_only,svm,10,0.01,2024,"{""C"": 2.7871086086352053, ""gamma"": 0.01, ""kernel"": ""rbf""}",0.6583333333333333,0.5624618437118437,23,0.6956521739130435,2.3443786504700306,101983.141311433,-0.18209804543151775,9.108168212523596,0.6707317073170732,0.6030902777777777,24,0.6666666666666666,2.976418454019673,177591.89308027516,-0.1030989446162951,14.513166166121021,1722538.4191974185
NVDA,technical_only,svm,10,0.01,31415,"{""C"": 4.025419409846402, ""gamma"": 0.01, ""kernel"": ""rbf""}",0.6416666666666667,0.5732982295482295,23,0.6956521739130435,2.3443786504700306,101983.141311433,-0.18209804543151775,9.108168212523596,0.6463414634146342,0.5887847222222222,24,0.6666666666666666,2.976418454019673,177591.89308027516,-0.1030989446162951,14.513166166121021,1722538.4191974185
NVDA,learned_alpha_per_stock,svm,2,0.005,42,"{""C"": 9.894459042828073, ""gamma"": 0.04250622787360532, ""kernel"": ""linear""}",0.5846774193548387,0.6357408494813075,123,0.5284552845528455,-0.525963112002471,-0.54947158889911,-0.554939935117511,-0.5689404406959585,0.4796747967479675,0.5734242584745763,122,0.47540983606557374,-0.666842079001948,-0.6215280006723674,-0.5108286488650032,-1.1130220325335065,-1.2167054491820772
NVDA,learned_alpha_per_stock,svm,2,0.005,7,"{""C"": 0.29054605591681737, ""gamma"": 0.01729461505143671, ""kernel"": ""linear""}",0.5846774193548387,0.6288249494356364,123,0.6097560975609756,2.564818673985226,8.701225906442646,-0.179473265097513,5.802191306092867,0.6056910569105691,0.5370762711864407,122,0.6639344262295082,3.636380623468621,27.558718995719452,-0.16051844347207303,6.255206397286222,171.68568545529232
NVDA,learned_alpha_per_stock,svm,2,0.005,1337,"{""C"": 0.13670132091867077, ""gamma"": 1.0, ""kernel"": ""linear""}",0.5887096774193549,0.6290206824557969,123,0.6178861788617886,2.5779926244734175,8.819756974618072,-0.1794732650975128,5.857127492093901,0.6056910569105691,0.5316472457627119,122,0.6639344262295082,3.636380623468621,27.558718995719452,-0.16051844347207303,6.255206397286222,171.68568545529232
NVDA,learned_alpha_per_stock,svm,2,0.005,2024,"{""C"": 0.10302095662309847, ""gamma"": 0.9836523525400894, ""kernel"": ""linear""}",0.5887096774193549,0.628759705095583,123,0.6178861788617886,2.5779926244734175,8.819756974618072,-0.1794732650975128,5.857127492093901,0.6056910569105691,0.5316472457627119,122,0.6639344262295082,3.636380623468621,27.558718995719452,-0.16051844347207303,6.255206397286222,171.68568545529232
NVDA,learned_alpha_per_stock,svm,2,0.005,31415,"{""C"": 9.881748192120728, ""gamma"": 0.9750112173044828, ""kernel"": ""linear""}",0.5201612903225806,0.6291185489658773,123,0.4634146341463415,-1.712330608266052,-0.8618509678796258,-0.7398049520852021,-1.9168115634407406,0.4715447154471545,0.5315810381355932,122,0.45901639344262296,-0.7720469621452469,-0.6610587808268553,-0.5142131109763248,-1.3079764861194056,-1.2855735622371003
NVDA,learned_alpha_per_stock,svm,5,0.01,42,"{""C"": 9.335365592389829, ""gamma"": 0.9704368839700157, ""kernel"": ""linear""}",0.5795918367346938,0.6749015881634316,48,0.5625,-0.04226677573847967,-0.5071378396740089,-0.5167707470148549,-0.051601404240299034,0.4715447154471545,0.5708556149732621,49,0.3877551020408163,-1.6789000829736531,-0.9966170499393552,-0.6755771440963158,-2.4330543125222777,-1.4752083587322626
NVDA,learned_alpha_per_stock,svm,5,0.01,7,"{""C"": 5.093887950544113, ""gamma"": 0.04896553379835917, ""kernel"": ""linear""}",0.5877551020408164,0.6749694583955477,48,0.5833333333333334,0.010925159634397115,-0.4383226429915551,-0.5356761829278771,0.013415091422429103,0.4878048780487805,0.5840909090909091,49,0.42857142857142855,-1.2574600243849772,-0.9891240662731536,-0.5928747673381171,-1.7825396057274334,-1.668352442648407
NVDA,learned_alpha_per_stock,svm,5,0.01,1337,"{""C"": 6.241771526141971, ""gamma"": 0.7191413528619333, ""kernel"": ""linear""}",0.5714285714285714,0.6735441835211077,48,0.5,-1.1144422010422628,-0.963391137777164,-0.5912379672717106,-1.4476459068141017,0.4715447154471545,0.577072192513369,49,0.3673469387755102,-1.8791938403015649,-0.9980277726490225,-0.7042179232413338,-2.7477493960458395,-1.4172143873523662
NVDA,learned_alpha_per_stock,svm,5,0.01,2024,"{""C"": 1.694676468194001, ""gamma"": 0.01, ""kernel"": ""rbf""}",0.5673469387755102,0.6062169132618435,48,0.5625,1.3953544831093854,15.345387477224463,-0.285208895317512,2.9206980988155786,0.6056910569105691,0.6122994652406417,49,0.6530612244897959,3.0783533116674455,1706.3353752277285,-0.25903805672445673,5.328850546982774,6587.199567524501
NVDA,learned_alpha_per_stock,svm,5,0.01,31415,"{""C"": 9.94547453355802, ""gamma"": 0.011327871235223781, ""kernel"": ""linear""}",0.5877551020408164,0.6762929279218135,48,0.5625,-0.03633873934613623,-0.4999316648449428,-0.49374494958865456,-0.044329665482336925,0.4796747967479675,0.5848262032085563,49,0.3877551020408163,-1.6789000829736531,-0.9966170499393552,-0.6755771440963158,-2.4330543125222777,-1.4752083587322626
NVDA,learned_alpha_per_stock,svm,10,0.01,42,"{""C"": 9.79582323992349, ""gamma"": 0.44903597797220896, ""kernel"": ""linear""}",0.6625,0.6297313797313797,23,0.7391304347826086,2.6382025469985426,363358.3377260586,-0.13119440759893478,8.796019696735664,0.6260162601626016,0.5859027777777778,24,0.5416666666666666,2.000521826080525,4780.179966430579,-0.18033082467944014,5.6329346990851255,26507.83622227607
NVDA,learned_alpha_per_stock,svm,10,0.01,7,"{""C"": 0.18209516654322425, ""gamma"": 0.5067243434656169, ""kernel"": ""linear""}",0.65,0.628968253968254,23,0.6956521739130435,2.316516083519604,89819.54300958956,-0.13119440759893483,8.52473992895942,0.6300813008130082,0.5821527777777777,24,0.5833333333333334,2.2148093047030515,11357.300170757077,-0.18033082467944014,5.854276895519101,62980.35951948898
